DateTime,Junction,ID,Vehicles
2017-07-01 00:00:00,1,20170701001,80
2017-07-01 01:00:00,1,20170701011,71
2017-07-01 02:00:00,1,20170701021,61
2017-07-01 03:00:00,1,20170701031,47
2017-07-01 04:00:00,1,20170701041,40
2017-07-01 05:00:00,1,20170701051,41
2017-07-01 06:00:00,1,20170701061,44
2017-07-01 07:00:00,1,20170701071,50
2017-07-01 08:00:00,1,20170701081,55
2017-07-01 09:00:00,1,20170701091,67
2017-07-01 10:00:00,1,20170701101,84
2017-07-01 11:00:00,1,20170701111,110
2017-07-01 12:00:00,1,20170701121,111
2017-07-01 13:00:00,1,20170701131,94
2017-07-01 14:00:00,1,20170701141,106
2017-07-01 15:00:00,1,20170701151,107
2017-07-01 16:00:00,1,20170701161,117
2017-07-01 17:00:00,1,20170701171,121
2017-07-01 18:00:00,1,20170701181,110
2017-07-01 19:00:00,1,20170701191,112
2017-07-01 20:00:00,1,20170701201,105
2017-07-01 21:00:00,1,20170701211,97
2017-07-01 22:00:00,1,20170701221,89
2017-07-01 23:00:00,1,20170701231,85
2017-07-02 00:00:00,1,20170702001,79
2017-07-02 01:00:00,1,20170702011,69
2017-07-02 02:00:00,1,20170702021,55
2017-07-02 03:00:00,1,20170702031,48
2017-07-02 04:00:00,1,20170702041,38
2017-07-02 05:00:00,1,20170702051,40
2017-07-02 06:00:00,1,20170702061,46
2017-07-02 07:00:00,1,20170702071,56
2017-07-02 08:00:00,1,20170702081,62
2017-07-02 09:00:00,1,20170702091,72
2017-07-02 10:00:00,1,20170702101,83
2017-07-02 11:00:00,1,20170702111,95
2017-07-02 12:00:00,1,20170702121,97
2017-07-02 13:00:00,1,20170702131,88
2017-07-02 14:00:00,1,20170702141,100
2017-07-02 15:00:00,1,20170702151,90
2017-07-02 16:00:00,1,20170702161,89
2017-07-02 17:00:00,1,20170702171,84
2017-07-02 18:00:00,1,20170702181,92
2017-07-02 19:00:00,1,20170702191,98
2017-07-02 20:00:00,1,20170702201,98
2017-07-02 21:00:00,1,20170702211,86
2017-07-02 22:00:00,1,20170702221,82
2017-07-02 23:00:00,1,20170702231,81
2017-07-03 00:00:00,1,20170703001,70
2017-07-03 01:00:00,1,20170703011,62
2017-07-03 02:00:00,1,20170703021,52
2017-07-03 03:00:00,1,20170703031,39
2017-07-03 04:00:00,1,20170703041,34
2017-07-03 05:00:00,1,20170703051,34
2017-07-03 06:00:00,1,20170703061,40
2017-07-03 07:00:00,1,20170703071,39
2017-07-03 08:00:00,1,20170703081,47
2017-07-03 09:00:00,1,20170703091,50
2017-07-03 10:00:00,1,20170703101,58
2017-07-03 11:00:00,1,20170703111,61
2017-07-03 12:00:00,1,20170703121,59
2017-07-03 13:00:00,1,20170703131,55
2017-07-03 14:00:00,1,20170703141,58
2017-07-03 15:00:00,1,20170703151,56
2017-07-03 16:00:00,1,20170703161,50
2017-07-03 17:00:00,1,20170703171,51
2017-07-03 18:00:00,1,20170703181,62
2017-07-03 19:00:00,1,20170703191,59
2017-07-03 20:00:00,1,20170703201,64
2017-07-03 21:00:00,1,20170703211,61
2017-07-03 22:00:00,1,20170703221,60
2017-07-03 23:00:00,1,20170703231,61
2017-07-04 00:00:00,1,20170704001,47
2017-07-04 01:00:00,1,20170704011,39
2017-07-04 02:00:00,1,20170704021,37
2017-07-04 03:00:00,1,20170704031,34
2017-07-04 04:00:00,1,20170704041,26
2017-07-04 05:00:00,1,20170704051,27
2017-07-04 06:00:00,1,20170704061,28
2017-07-04 07:00:00,1,20170704071,34
2017-07-04 08:00:00,1,20170704081,33
2017-07-04 09:00:00,1,20170704091,45
2017-07-04 10:00:00,1,20170704101,51
2017-07-04 11:00:00,1,20170704111,56
2017-07-04 12:00:00,1,20170704121,60
2017-07-04 13:00:00,1,20170704131,53
2017-07-04 14:00:00,1,20170704141,54
2017-07-04 15:00:00,1,20170704151,48
2017-07-04 16:00:00,1,20170704161,49
2017-07-04 17:00:00,1,20170704171,51
2017-07-04 18:00:00,1,20170704181,57
2017-07-04 19:00:00,1,20170704191,57
2017-07-04 20:00:00,1,20170704201,56
2017-07-04 21:00:00,1,20170704211,61
2017-07-04 22:00:00,1,20170704221,63
2017-07-04 23:00:00,1,20170704231,58
2017-07-05 00:00:00,1,20170705001,56
2017-07-05 01:00:00,1,20170705011,46
2017-07-05 02:00:00,1,20170705021,38
2017-07-05 03:00:00,1,20170705031,38
2017-07-05 04:00:00,1,20170705041,31
2017-07-05 05:00:00,1,20170705051,33
2017-07-05 06:00:00,1,20170705061,42
2017-07-05 07:00:00,1,20170705071,48
2017-07-05 08:00:00,1,20170705081,56
2017-07-05 09:00:00,1,20170705091,65
2017-07-05 10:00:00,1,20170705101,84
2017-07-05 11:00:00,1,20170705111,101
2017-07-05 12:00:00,1,20170705121,106
2017-07-05 13:00:00,1,20170705131,94
2017-07-05 14:00:00,1,20170705141,101
2017-07-05 15:00:00,1,20170705151,103
2017-07-05 16:00:00,1,20170705161,93
2017-07-05 17:00:00,1,20170705171,89
2017-07-05 18:00:00,1,20170705181,96
2017-07-05 19:00:00,1,20170705191,100
2017-07-05 20:00:00,1,20170705201,93
2017-07-05 21:00:00,1,20170705211,89
2017-07-05 22:00:00,1,20170705221,89
2017-07-05 23:00:00,1,20170705231,83
2017-07-06 00:00:00,1,20170706001,75
2017-07-06 01:00:00,1,20170706011,71
2017-07-06 02:00:00,1,20170706021,55
2017-07-06 03:00:00,1,20170706031,47
2017-07-06 04:00:00,1,20170706041,43
2017-07-06 05:00:00,1,20170706051,42
2017-07-06 06:00:00,1,20170706061,43
2017-07-06 07:00:00,1,20170706071,51
2017-07-06 08:00:00,1,20170706081,61
2017-07-06 09:00:00,1,20170706091,65
2017-07-06 10:00:00,1,20170706101,96
2017-07-06 11:00:00,1,20170706111,112
2017-07-06 12:00:00,1,20170706121,109
2017-07-06 13:00:00,1,20170706131,102
2017-07-06 14:00:00,1,20170706141,113
2017-07-06 15:00:00,1,20170706151,115
2017-07-06 16:00:00,1,20170706161,127
2017-07-06 17:00:00,1,20170706171,134
2017-07-06 18:00:00,1,20170706181,140
2017-07-06 19:00:00,1,20170706191,136
2017-07-06 20:00:00,1,20170706201,126
2017-07-06 21:00:00,1,20170706211,114
2017-07-06 22:00:00,1,20170706221,104
2017-07-06 23:00:00,1,20170706231,95
2017-07-07 00:00:00,1,20170707001,87
2017-07-07 01:00:00,1,20170707011,81
2017-07-07 02:00:00,1,20170707021,65
2017-07-07 03:00:00,1,20170707031,57
2017-07-07 04:00:00,1,20170707041,47
2017-07-07 05:00:00,1,20170707051,46
2017-07-07 06:00:00,1,20170707061,53
2017-07-07 07:00:00,1,20170707071,59
2017-07-07 08:00:00,1,20170707081,67
2017-07-07 09:00:00,1,20170707091,78
2017-07-07 10:00:00,1,20170707101,95
